rights_statement,record_count,rights_category
"Photo: (c) benjansss, some rights reserved (CC BY-NC);",384,cc_by_nc
"Photo: (c) lalily044, some rights reserved (CC BY-NC);",383,cc_by_nc
"Photo: (c) yokosonz, some rights reserved (CC BY-NC);",382,cc_by_nc
"Photo: (c) Matthew Priestley, some rights reserved (CC BY-NC);",381,cc_by_nc
"Photo: (c) sacredheart, some rights reserved (CC BY-NC);",369,cc_by_nc
"Photo: (c) Daniel J. King, some rights reserved (CC BY-NC);",365,cc_by_nc
"Photo: (c) nicholasmaynenz, some rights reserved (CC BY-NC);",363,cc_by_nc
"Photo: (c) dwilson, some rights reserved (CC BY-NC);",354,cc_by_nc
"Photo: (c) sozzles, some rights reserved (CC BY-NC);",350,cc_by_nc
"Photo: (c) Paddy Kemner, some rights reserved (CC BY-NC);",348,cc_by_nc
"Photo: (c) John Hornblow, some rights reserved (CC BY-NC);",344,cc_by_nc
"Photo: (c) Mathias Michael, some rights reserved (CC BY-NC);",343,cc_by_nc
"Photo: (c) Loïc Chalmandrier, some rights reserved (CC BY-NC);",342,cc_by_nc
"Photo: (c) Neville Hudson, some rights reserved (CC BY-NC);",342,cc_by_nc
"Photo: (c) pat-leonard, some rights reserved (CC BY-NC);",337,cc_by_nc
"Photo: (c) sarahmilicich, some rights reserved (CC BY-NC);",332,cc_by_nc
"Photo: (c) Dave, some rights reserved (CC BY-NC);",330,cc_by_nc
"Photo: (c) Melissa Gunn, some rights reserved (CC BY-NC);",327,cc_by_nc
"Photo: (c) tim, some rights reserved (CC BY-NC);",327,cc_by_nc
"Photo: (c) Linda, some rights reserved (CC BY-NC);",324,cc_by_nc
"Photo: (c) belinda studholme, some rights reserved (CC BY-NC);",321,cc_by_nc
"Photo: (c) akika, some rights reserved (CC BY-NC);",315,cc_by_nc
"Photo: (c) Dan Ross, some rights reserved (CC BY-NC);",313,cc_by_nc
"Photo: (c) ejdoyle, some rights reserved (CC BY-NC);",310,cc_by_nc
Creative Commons Attribution-NonCommercial (BY-NC) licence,308,cc_by_nc
"Photo: (c) Karin Mahlfeld, David Roscoe, Frank Climo, some rights reserved (CC BY-NC);",307,cc_by_nc
"Photo: (c) Zachary Ngow, some rights reserved (CC BY-NC);",305,cc_by_nc
"Photo: (c) dougalm, some rights reserved (CC BY-NC);",301,cc_by_nc
"Photo: (c) Gillian Candler, some rights reserved (CC BY-NC);",300,cc_by_nc
"Photo: (c) Thor Elley, some rights reserved (CC BY-NC);",300,cc_by_nc
"Photo: (c) Thomas, some rights reserved (CC BY-NC);",299,cc_by_nc
"Photo: (c) dianne49, some rights reserved (CC BY-NC);",294,cc_by_nc
"Photo: (c) Petaliaw, some rights reserved (CC BY-NC);",293,cc_by_nc
"Photo: (c) ian dench, some rights reserved (CC BY-NC);",292,cc_by_nc
"Photo: (c) Kate Curtis, some rights reserved (CC BY-NC);",290,cc_by_nc
"Photo: (c) inat7, some rights reserved (CC BY-NC);",289,cc_by_nc
"Photo: (c) Jordi J. Tablada, some rights reserved (CC BY-NC);",288,cc_by_nc
"Photo: (c) Colin Ogle, some rights reserved (CC BY-NC);",280,cc_by_nc
"Photo: (c) taylajane, some rights reserved (CC BY-NC);",280,cc_by_nc
"Photo: (c) mariana-nz, some rights reserved (CC BY-NC);",279,cc_by_nc
"Photo: (c) mira, some rights reserved (CC BY-NC);",278,cc_by_nc
"Photo: (c) williamdomenge9, some rights reserved (CC BY-NC);",274,cc_by_nc
"Photo: (c) Peter Russell, some rights reserved (CC BY-NC);",273,cc_by_nc
"Photo: (c) harrylurling, some rights reserved (CC BY-NC);",271,cc_by_nc
"Photo: (c) Frits Schouten, some rights reserved (CC BY-NC);",269,cc_by_nc
"Photo: (c) Flora, some rights reserved (CC BY-NC);",268,cc_by_nc
"Photo: (c) gumtree, some rights reserved (CC BY-NC);",265,cc_by_nc
"Photo: (c) james_crofts-bennett, some rights reserved (CC BY-NC);",261,cc_by_nc
"Photo: (c) Chris Close, some rights reserved (CC BY-NC);",259,cc_by_nc
"Photo: (c) pscragg, some rights reserved (CC BY-NC);",253,cc_by_nc
"Photo: (c) Canyon richens, some rights reserved (CC BY-NC);",252,cc_by_nc
"Photo: (c) Aman, some rights reserved (CC BY-NC);",250,cc_by_nc
"Photo: (c) Kyle Bland, some rights reserved (CC BY-NC);",249,cc_by_nc
"Photo: (c) marystg, some rights reserved (CC BY-NC);",239,cc_by_nc
"Photo: (c) commoncopper, some rights reserved (CC BY-NC);",238,cc_by_nc
"Photo: (c) goodonya, some rights reserved (CC BY-NC);",237,cc_by_nc
"Photo: (c) Anthony McCaughan, some rights reserved (CC BY-NC);",236,cc_by_nc
"Photo: (c) Gathadair, some rights reserved (CC BY-NC);",235,cc_by_nc
"Photo: (c) fuligogirl, some rights reserved (CC BY-NC);",231,cc_by_nc
